Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Alain Prost,3,Nigel Mansell,1
McLaren,2,6,Gerhard Berger,4,Ayrton Senna,2
Benetton,3,4,Alessandro Nannini,6,Nelson Piquet,5
Arrows,4,3,Alex Caffi,13,Michele Alboreto,9
Williams,5,2,,,Riccardo Patrese,7
Tyrrell,6,1,,,Jean Alesi,8
Ligier,7,0,,,Nicola Larini,10
Minardi,8,0,,,Pierluigi Martini,11
Leyton House,9,0,,,Maurício Gugelmin,12
Lola,10,0,,,Aguri Suzuki,14
Dallara,11,0,,,Emanuele Pirro,15
