Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Gerhard Berger,3,Ayrton Senna,1
Benetton,2,6,Nelson Piquet,5,Alessandro Nannini,4
Leyton House,3,4,Ivan Capelli,7,Maurício Gugelmin,6
Lotus,4,3,Martin Donnelly,12,Derek Warwick,11
Arrows,5,2,Michele Alboreto,13,Alex Caffi,10
Ferrari,6,1,,,Alain Prost,2
Tyrrell,7,0,,,Jean Alesi,8
Lola,8,0,,,Éric Bernard,9
Ligier,9,0,,,Nicola Larini,14
Minardi,10,0,,,Pierluigi Martini,15
Osella,11,0,,,Olivier Grouillard,16
Brabham,12,0,,,Stefano Modena,17
