Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Gerhard Berger,5,Ayrton Senna,3
Lola,2,6,Éric Bernard,8,Aguri Suzuki,7
Lotus,3,4,Martin Donnelly,12,Derek Warwick,11
Ligier,4,3,Nicola Larini,14,Philippe Alliot,9
Brabham,5,2,David Brabham,15,Stefano Modena,13
Benetton,6,1,Alessandro Nannini,16,Nelson Piquet,4
Ferrari,7,0,Nigel Mansell,18,Alain Prost,1
Leyton House,8,0,,,Ivan Capelli,2
Williams,9,0,,,Riccardo Patrese,6
Arrows,10,0,,,Michele Alboreto,10
AGS,11,0,,,Yannick Dalmas,17
