year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,michael-schumacher,Michael Schumacher,ferrari,1,65,3,0,1,1695.265744,1702.443334,7.17759,1.0,0.700934,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,jean-alesi,Jean Alesi,benetton,2,65,4,0,2,1607.433161,1616.283525,8.850364,0.952381,0.583616,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,jacques-villeneuve,Jacques Villeneuve,williams,3,65,2,0,3,1537.471131,1547.592743,10.121612,0.904762,0.483028,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,heinz-harald-frentzen,Heinz-Harald Frentzen,sauber,4,64,11,0,4,1559.224784,1567.447701,8.222917,0.857143,0.514521,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,mika-hakkinen,Mika Häkkinen,mclaren,5,64,10,0,5,1562.952242,1569.902906,6.950664,0.809524,0.519913,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,pedro-diniz,Pedro Diniz,ligier,6,63,17,0,6,1494.397186,1502.574,8.176814,0.761905,0.421204,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,jos-verstappen,Jos Verstappen,footwork,DNF,47,13,1,7,1475.109707,1482.794165,7.684458,0.714286,0.3941,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,rubens-barrichello,Rubens Barrichello,jordan,DNF,45,7,1,8,1555.950999,1559.716199,3.7652,0.666667,0.509783,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,gerhard-berger,Gerhard Berger,benetton,DNF,44,5,1,9,1626.556666,1626.765012,0.208346,0.619048,0.610367,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,johnny-herbert,Johnny Herbert,sauber,DNF,20,9,1,10,1591.463504,1591.715458,0.251955,0.571429,0.56093,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,martin-brundle,Martin Brundle,jordan,DNF,17,15,1,11,1578.950716,1578.490359,-0.460357,0.52381,0.542991,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,damon-hill,Damon Hill,williams,DNF,10,1,1,12,1702.601929,1696.991449,-5.61048,0.47619,0.70996,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,ukyo-katayama,Ukyo Katayama,tyrrell,DNF,8,16,1,13,1455.399854,1456.878144,1.478289,0.428571,0.366976,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,eddie-irvine,Eddie Irvine,ferrari,DNF,1,6,1,14,1561.906289,1557.464682,-4.441607,0.333333,0.5184,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,giancarlo-fisichella,Giancarlo Fisichella,minardi,DNF,1,19,1,15,1485.92626,1484.104489,-1.821771,0.333333,0.40924,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,olivier-panis,Olivier Panis,ligier,DNF,1,8,1,16,1589.956582,1584.545941,-5.410641,0.333333,0.558777,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,david-coulthard,David Coulthard,mclaren,DNF,0,14,1,17,1584.889028,1576.223981,-8.665047,0.190476,0.55152,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,pedro-lamy,Pedro Lamy,minardi,DNF,0,18,1,18,1511.544174,1505.419864,-6.12431,0.190476,0.445656,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,ricardo-rosset,Ricardo Rosset,footwork,DNF,0,20,1,19,1486.662923,1481.387695,-5.275228,0.190476,0.410277,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,mika-salo,Mika Salo,tyrrell,DSQ,16,12,2,20,1542.188271,1532.717457,-9.470813,0.095238,0.489855,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,andrea-montermini,Andrea Montermini,forti,DNQ,,,2,21,1403.861825,1397.239965,-6.621861,0.02381,0.29972,24.0,22
1996,7,1996-06-02,spain,Gran Premio Marlboro de España 1996,luca-badoer,Luca Badoer,forti,DNQ,,,2,22,1478.072007,1469.085913,-8.986093,0.02381,0.39823,24.0,22
