Équipe,Rang,Points,MON,BEL,NET,FRA,GRE,GER,ITA,UNI,MEX,SOU
Lotus,1,57,4,6,6,6,6,9,6,4,4,6
BRM,2,56,9,3,2,4,9,4,4,9,9,3
Cooper,3,46,6,9,0,3,2,2,9,3,3,9
Brabham,4,32,,4,4,9,,1,2,2,6,4
Ferrari,5,29,3,,9,,3,6,,6,,2
Porsche,6,11,,2,1,,1,3,,1,2,1
Lola,7,9,,,,2,4,,3,,,
BRP,8,4,,,3,1,,,0,,,
Scirocco,9,1,,1,,,,,,,,
ATS,10,1,,,,,,,1,,,
Stebro,11,0,,,,,,,,0,,
LDS,12,0,,,,,,,,,,0
