Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Lola,1,9,Michele Alboreto,11,Philippe Alliot,9
Minardi,2,6,Luis Pérez-Sala,12,Pierluigi Martini,5
Brabham,3,4,Stefano Modena,14,Martin Brundle,8
Ferrari,4,3,,,Gerhard Berger,1
McLaren,5,2,,,Alain Prost,2
Onyx,6,1,,,Stefan Johansson,3
Benetton,7,0,,,Alessandro Nannini,4
Tyrrell,8,0,,,Jonathan Palmer,6
Lotus,9,0,,,Satoru Nakajima,7
March,10,0,,,Maurício Gugelmin,10
Ligier,11,0,,,René Arnoux,13
