Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Benetton,1,9,Alessandro Nannini,6,Johnny Herbert,4
Tyrrell,2,6,Michele Alboreto,10,Jonathan Palmer,7
McLaren,3,4,Ayrton Senna,11,Alain Prost,2
Ferrari,4,3,,,Nigel Mansell,1
March,5,2,,,Maurício Gugelmin,3
Arrows,6,1,,,Derek Warwick,5
Lotus,7,0,,,Satoru Nakajima,8
Ligier,8,0,,,Olivier Grouillard,9
Lola,9,0,,,Philippe Alliot,12
Dallara,10,0,,,Andrea de Cesaris,13
Rial,11,0,,,Christian Danner,14
