Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Alain Prost,5,Ayrton Senna,1
Brabham,2,6,Stefano Modena,10,Martin Brundle,9
Ligier,3,4,René Arnoux,14,Olivier Grouillard,8
Benetton,4,3,Johnny Herbert,15,Alessandro Nannini,4
Williams,5,2,,,Riccardo Patrese,2
Tyrrell,6,1,,,Michele Alboreto,3
AGS,7,0,,,Gabriele Tarquini,6
Arrows,8,0,,,Eddie Cheever,7
Lotus,9,0,,,Nelson Piquet,11
Rial,10,0,,,Christian Danner,12
Dallara,11,0,,,Alex Caffi,13
