Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Alain Prost,2,Ayrton Senna,1
Benetton,2,6,Emanuele Pirro,10,Alessandro Nannini,5
March,3,4,Ivan Capelli,12,Maurício Gugelmin,7
Minardi,4,3,Luis Pérez-Sala,15,Pierluigi Martini,9
Ferrari,5,2,,,Nigel Mansell,3
Williams,6,1,,,Thierry Boutsen,4
Arrows,7,0,,,Derek Warwick,6
Onyx,8,0,,,Stefan Johansson,8
Dallara,9,0,,,Andrea de Cesaris,11
Ligier,10,0,,,Olivier Grouillard,13
Tyrrell,11,0,,,Jonathan Palmer,14
Lola,12,0,,,Philippe Alliot,16
