Pilote,Rang,Points,ARGR,AUSR,BELR,BRAR,FRAR,GERR,GRER,ITAR,MONR,NETR,SOUR,SPAR,SWER,UNIR
Niki Lauda,1,286,12,25,25,12,25,25,15,25,25,25,12,25,10,25
Carlos Pace,2,138,18,8,18,8,10,18,18,1,4,2,25,0,8,0
Clay Regazzoni,3,126,6,10,12,10,2,10,12,18,8,18,2,18,0,0
Jean-Pierre Jarier,4,107,25,0,1,25,12,0,0,0,15,1,0,1,15,12
Carlos Reutemann,5,105,15,0,8,15,0,1,4,6,1,10,18,0,12,15
Emerson Fittipaldi,6,101,10,15,4,18,1,4,6,15,2,8,0,0,0,18
Jody Scheckter,7,100,2,1,2,4,18,15,8,12,6,12,15,0,4,1
Vittorio Brambilla,8,94,0,4,15,0,4,0,10,2,10,0,6,10,25,8
James Hunt,9,85,8,18,0,6,15,2,2,4,0,15,0,15,0,0
Tom Pryce,10,77,0,0,10,0,8,0,25,0,18,0,0,4,6,6
Patrick Depailler,11,62,4,6,0,2,0,12,0,0,0,0,10,6,18,4
Jochen Mass,12,34,0,2,0,1,6,8,1,10,0,4,0,0,0,2
Mario Andretti,13,31,1,0,,0,0,0,0,0,0,,8,12,0,10
Tony Brise,14,20,,0,6,,0,0,0,8,,6,,0,0,0
Ronnie Peterson,15,18,0,0,0,0,0,0,0,0,12,0,4,0,2,0
Hans-Joachim Stuck,16,18,,12,,,,6,0,0,,,,,,0
John Watson,17,10,0,0,0,0,0,0,0,,0,0,1,8,1,0
Rolf Stommelen,18,2,0,0,,0,,,,0,,,0,2,,
Mark Donohue,19,0,0,0,0,0,0,0,0,,0,0,0,0,0,
Jacques Laffite,20,0,0,0,0,0,0,0,0,0,0,0,0,,,0
Jacky Ickx,21,0,0,,0,0,0,,,,0,0,0,0,0,
Arturo Merzario,22,0,0,,0,0,,,,0,0,,0,0,,
Graham Hill,23,0,0,,,0,,,,,0,,0,,,
Mike Wilds,24,0,0,,,0,,,,,,,,,,
Wilson Fittipaldi,25,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Ian Scheckter,26,0,,,,,,,,,,0,0,,0,
Dave Charlton,27,0,,,,,,,,,,,0,,,
Eddie Keizan,28,0,,,,,,,,,,,0,,,
Bob Evans,29,0,,0,0,,0,,,0,0,0,0,0,0,
Guy Tunmer,30,0,,,,,,,,,,,0,,,
Lella Lombardi,31,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Roelof Wunderink,32,0,,0,,,,,0,0,0,,,0,,0
Alan Jones,33,0,,,0,,0,0,0,,0,0,,0,0,
François Migault,34,0,,,0,,0,,,,,,,0,,
Torsten Palm,35,0,,,,,,,,,0,,,,0,
Damien Magee,36,0,,,,,,,,,,,,,0,
Vern Schuppan,37,0,,,,,,,,,,,,,0,
Gijs van Lennep,38,0,,,,,0,0,,,,0,,,,
Hiroshi Fushida,39,0,,,,,,,0,,,0,,,,
Jean-Pierre Jabouille,40,0,,,,,0,,,,,,,,,
Brian Henton,41,0,,0,,,,,0,,,,,,,0
Dave Morgan,42,0,,,,,,,0,,,,,,,
Jim Crawford,43,0,,,,,,,0,0,,,,,,
John Nicholson,44,0,,,,,,,0,,,,,,,
Ian Ashley,45,0,,,,,,0,,,,,,,,
Harald Ertl,46,0,,0,,,,0,,0,,,,,,
Tony Trimmer,47,0,,0,,,,0,,0,,,,,,
Brett Lunger,48,0,,0,,,,,,0,,,,,,0
Chris Amon,49,0,,0,,,,,,0,,,,,,
Jo Vonlanthen,50,0,,0,,,,,,,,,,,,
Renzo Zorzi,51,0,,,,,,,,0,,,,,,
Michel Leclère,52,0,,,,,,,,,,,,,,0
