Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Aston Martin,1,9,Lance Stroll,4,Fernando Alonso,3
Red Bull,2,6,Sergio Pérez,5,Max Verstappen,1
McLaren,3,4,Oscar Piastri,8,Lando Norris,6
Alfa Romeo,4,3,Valtteri Bottas,11,Guanyu Zhou,9
Alpine,5,2,Esteban Ocon,14,Pierre Gasly,13
AlphaTauri,6,1,Nyck de Vries,15,Yuki Tsunoda,10
Haas,7,0,Kevin Magnussen,17,Nico Hülkenberg,7
Mercedes,8,0,,,Lewis Hamilton,2
Ferrari,9,0,,,Carlos Sainz Jr.,12
Williams,10,0,,,Logan Sargeant,16
