Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Carlos Sainz Jr.,5,Charles Leclerc,4
Red Bull,2,6,Sergio Pérez,6,Max Verstappen,1
Aston Martin,3,4,Lance Stroll,9,Fernando Alonso,2
Alpine,4,3,Pierre Gasly,12,Esteban Ocon,8
McLaren,5,2,Lando Norris,13,Oscar Piastri,11
Alfa Romeo,6,1,Guanyu Zhou,16,Valtteri Bottas,10
Haas,7,0,Kevin Magnussen,17,Nico Hülkenberg,15
AlphaTauri,8,0,Nyck de Vries,18,Yuki Tsunoda,14
Mercedes,9,0,,,Lewis Hamilton,3
Williams,10,0,,,Alexander Albon,7
