Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sergio Pérez,4,Max Verstappen,1
Williams,2,6,Logan Sargeant,10,Alexander Albon,9
Alfa Romeo,3,4,Guanyu Zhou,13,Valtteri Bottas,12
Haas,4,3,Kevin Magnussen,14,Nico Hülkenberg,11
AlphaTauri,5,2,Daniel Ricciardo,15,Yuki Tsunoda,8
McLaren,6,1,,,Lando Norris,2
Ferrari,7,0,,,Carlos Sainz Jr.,3
Mercedes,8,0,,,George Russell,5
Alpine,9,0,,,Pierre Gasly,6
Aston Martin,10,0,,,Lance Stroll,7
