Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,George Russell,5,Lewis Hamilton,4
Alpine,2,6,Pierre Gasly,7,Esteban Ocon,3
Ferrari,3,4,Carlos Sainz Jr.,8,Charles Leclerc,6
McLaren,4,3,Oscar Piastri,10,Lando Norris,9
Alfa Romeo,5,2,Guanyu Zhou,13,Valtteri Bottas,11
AlphaTauri,6,1,Yuki Tsunoda,15,Nyck de Vries,12
Red Bull,7,0,Sergio Pérez,16,Max Verstappen,1
Williams,8,0,Logan Sargeant,18,Alexander Albon,14
Haas,9,0,Kevin Magnussen,19,Nico Hülkenberg,17
Aston Martin,10,0,,,Fernando Alonso,2
