Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sergio Pérez,2,Max Verstappen,1
Aston Martin,2,6,Lance Stroll,6,Fernando Alonso,3
Mercedes,3,4,George Russell,7,Lewis Hamilton,5
Williams,4,3,Logan Sargeant,12,Alexander Albon,10
AlphaTauri,5,2,Nyck de Vries,14,Yuki Tsunoda,11
Haas,6,1,Nico Hülkenberg,15,Kevin Magnussen,13
Alfa Romeo,7,0,Guanyu Zhou,16,Valtteri Bottas,8
Ferrari,8,0,,,Carlos Sainz Jr.,4
Alpine,9,0,,,Pierre Gasly,9
McLaren,10,0,,,Lando Norris,17
