Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sergio Pérez,3,Max Verstappen,1
Ferrari,2,6,Carlos Sainz Jr.,6,Charles Leclerc,2
Mercedes,3,4,George Russell,8,Lewis Hamilton,7
Aston Martin,4,3,Fernando Alonso,9,Lance Stroll,5
Alpine,5,2,Pierre Gasly,11,Esteban Ocon,4
Williams,6,1,Logan Sargeant,16,Alexander Albon,12
Alfa Romeo,7,0,Valtteri Bottas,17,Guanyu Zhou,15
AlphaTauri,8,0,Yuki Tsunoda,18,Daniel Ricciardo,14
Haas,9,0,Nico Hülkenberg,19,Kevin Magnussen,13
McLaren,10,0,,,Oscar Piastri,10
