Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Damon Hill,2,Alain Prost,1
McLaren,2,6,Michael Andretti,6,Ayrton Senna,4
Benetton,3,4,Riccardo Patrese,10,Michael Schumacher,3
Jordan,4,3,Thierry Boutsen,11,Rubens Barrichello,7
Footwork,5,2,Derek Warwick,13,Aguri Suzuki,12
Larrousse,6,1,Érik Comas,16,Philippe Alliot,9
Ligier,7,0,,,Martin Brundle,5
Minardi,8,0,,,Christian Fittipaldi,8
Ferrari,9,0,,,Gerhard Berger,14
Tyrrell,10,0,,,Andrea de Cesaris,15
