Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Benetton,1,9,Riccardo Patrese,3,Michael Schumacher,2
Ligier,2,6,Martin Brundle,14,Mark Blundell,7
Williams,3,4,,,Alain Prost,1
Lotus,4,3,,,Johnny Herbert,4
McLaren,5,2,,,Ayrton Senna,5
Footwork,6,1,,,Derek Warwick,6
Sauber,7,0,,,JJ Lehto,8
Ferrari,8,0,,,Jean Alesi,9
Jordan,9,0,,,Rubens Barrichello,10
Larrousse,10,0,,,Philippe Alliot,11
Minardi,11,0,,,Christian Fittipaldi,12
Tyrrell,12,0,,,Ukyo Katayama,13
