Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Damon Hill,3,Alain Prost,2
Sauber,2,6,JJ Lehto,7,Karl Wendlinger,5
Minardi,3,4,Christian Fittipaldi,9,Pierluigi Martini,8
Larrousse,4,3,Érik Comas,11,Philippe Alliot,10
Benetton,5,2,Riccardo Patrese,16,Michael Schumacher,1
Ferrari,6,1,,,Jean Alesi,4
Ligier,7,0,,,Martin Brundle,6
Tyrrell,8,0,,,Andrea de Cesaris,12
Jordan,9,0,,,Rubens Barrichello,13
Lola,10,0,,,Luca Badoer,14
Footwork,11,0,,,Derek Warwick,15
