Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Benetton,1,9,Riccardo Patrese,5,Michael Schumacher,2
Ferrari,2,6,Jean Alesi,7,Gerhard Berger,6
Ligier,3,4,Martin Brundle,8,Mark Blundell,3
Minardi,4,3,Pierluigi Martini,14,Christian Fittipaldi,11
Williams,5,2,Damon Hill,15,Alain Prost,1
McLaren,6,1,,,Ayrton Senna,4
Sauber,7,0,,,Karl Wendlinger,9
Lotus,8,0,,,Johnny Herbert,10
Larrousse,9,0,,,Philippe Alliot,12
Jordan,10,0,,,Thierry Boutsen,13
Lola,11,0,,,Michele Alboreto,16
Footwork,12,0,,,Derek Warwick,17
