Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Benetton,1,9,Johnny Herbert,2,Michael Schumacher,1
Jordan,2,6,Rubens Barrichello,7,Eddie Irvine,5
Ligier,3,4,Martin Brundle,9,Olivier Panis,6
Sauber,4,3,Karl Wendlinger,13,Heinz-Harald Frentzen,8
Simtek,5,2,Domenico Schiattarella,15,Jos Verstappen,12
Ferrari,6,1,,,Gerhard Berger,3
Williams,7,0,,,Damon Hill,4
Tyrrell,8,0,,,Mika Salo,10
Footwork,9,0,,,Gianni Morbidelli,11
Minardi,10,0,,,Pierluigi Martini,14
