Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Benetton,1,9,Johnny Herbert,5,Michael Schumacher,1
Jordan,2,6,Eddie Irvine,6,Rubens Barrichello,4
Minardi,3,4,Luca Badoer,11,Pedro Lamy,9
Tyrrell,4,3,Gabriele Tarquini,14,Mika Salo,10
Ferrari,5,2,,,Jean Alesi,2
Williams,6,1,,,David Coulthard,3
Ligier,7,0,,,Martin Brundle,7
McLaren,8,0,,,Mika Häkkinen,8
Footwork,9,0,,,Max Papis,12
Forti,10,0,,,Pedro Diniz,13
Pacific,11,0,,,Jean-Denis Délétraz,15
