Pilote,Rang,Points,ABUR,AUSR,BAHR,BELR,BRAR,CANR,CHIR,GRER,HUNR,ITAR,JAPR,MALR,MEXR,MONR,RUSR,SINR,SPAR,UNIR
Lewis Hamilton,1,411,18,25,25,25,18,25,25,25,25,25,18,25,18,25,18,10,18,18
Nico Rosberg,2,369,25,18,15,18,25,18,18,18,18,12,25,15,25,18,25,8,25,25
Sebastian Vettel,3,237,,15,18,2,15,,15,8,15,15,12,18,15,15,12,25,15,10
Valtteri Bottas,4,169,8,8,10,15,12,12,10,12,8,8,15,2,8,,15,6,12,0
Kimi Räikkönen,5,159,15,10,12,,10,15,8,10,10,18,8,,,8,10,15,6,4
Daniel Ricciardo,6,128,10,6,6,8,2,2,6,1,12,,6,12,10,12,1,18,1,15
Felipe Massa,7,118,4,12,8,6,4,,12,15,4,10,10,6,6,,,2,2,2
Daniil Kvyat,8,88,2,4,,,6,4,,6,6,,,10,12,10,,12,4,12
Nico Hülkenberg,9,53,6,10,4,,8,6,,2,,2,,,1,,8,,,6
Sergio Pérez,10,51,12,,,10,,1,,,,6,,,2,6,6,,,8
Romain Grosjean,11,47,,2,1,12,,10,4,,1,4,4,4,,,4,1,,0
Max Verstappen,12,37,,6,,,1,,,,2,,,8,4,1,2,4,8,1
Carlos Sainz Jr.,13,26,1,4,2,1,,,,4,,,,,,4,,,10,
Pastor Maldonado,14,15,,1,,4,,8,,,,,,,,2,,,,0
Felipe Nasr,15,4,,2,,,,,2,,,,,,,,,,,0
Marcus Ericsson,16,3,,,,,,,1,,,1,,1,,,,,,0
Fernando Alonso,17,0,,,,,,,,,,,,,,,,,,0
Jenson Button,18,0,,,,,,,,,,,,,,,,,,0
Alexander Rossi,19,0,,,,,,,,,,,,,,,,,,0
Will Stevens,20,0,,,,,,,,,,,,,,,,,,0
