Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ligier,1,9,Patrick Depailler,2,Jacques Laffite,1
Ferrari,2,6,Jody Scheckter,6,Gilles Villeneuve,5
Arrows,3,4,Riccardo Patrese,9,Jochen Mass,7
Shadow,4,3,Jan Lammers,14,Elio de Angelis,12
Lotus,5,2,,,Carlos Reutemann,3
Tyrrell,6,1,,,Didier Pironi,4
McLaren,7,0,,,John Watson,8
Renault,8,0,,,Jean-Pierre Jabouille,10
Fittipaldi,9,0,,,Emerson Fittipaldi,11
Ensign,10,0,,,Derek Daly,13
Williams,11,0,,,Clay Regazzoni,15
