Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,René Arnoux,3,Jean-Pierre Jabouille,1
Williams,2,6,Clay Regazzoni,6,Alan Jones,4
Ferrari,3,4,Jody Scheckter,7,Gilles Villeneuve,2
McLaren,4,3,John Watson,11,Patrick Tambay,10
Lotus,5,2,Carlos Reutemann,13,Héctor Rebaque,12
Arrows,6,1,Jochen Mass,15,Riccardo Patrese,14
Shadow,7,0,Jan Lammers,18,Elio de Angelis,16
Tyrrell,8,0,,,Jean-Pierre Jarier,5
Ligier,9,0,,,Jacques Laffite,8
Wolf,10,0,,,Keke Rosberg,9
Alfa Romeo,11,0,,,Bruno Giacomelli,17
