Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Gilles Villeneuve,2,Jody Scheckter,1
Lotus,2,6,Carlos Reutemann,7,Mario Andretti,5
Williams,3,4,Alan Jones,9,Clay Regazzoni,3
Tyrrell,4,3,Didier Pironi,10,Jean-Pierre Jarier,6
Brabham,5,2,,,Niki Lauda,4
Fittipaldi,6,1,,,Emerson Fittipaldi,8
ATS,7,0,,,Hans-Joachim Stuck,11
Alfa Romeo,8,0,,,Vittorio Brambilla,12
Arrows,9,0,,,Riccardo Patrese,13
Renault,10,0,,,Jean-Pierre Jabouille,14
