Pilote,Rang,Points,ARGR,BELR,FRAR,GERR,GRER,INDR,ITAR,MONR,MORR,NETR,PORR
Mike Hawthorn,1,179,18,25,25,25,12,,15,8,25,8,18
Stirling Moss,2,159,6,15,8,15,25,,25,4,18,18,25
Tony Brooks,3,114,,10,10,18,2,,18,25,6,15,10
Stuart Lewis-Evans,4,80,,0,1,,6,,12,6,15,25,15
Jean Behra,5,77,12,1,2,0,4,,4,18,12,12,12
Peter Collins,6,62,15,12,12,12,8,,,2,,1,
Harry Schell,7,62,4,6,15,4,18,,2,0,1,6,6
Luigi Musso,8,47,10,18,18,,,,,1,,0,
Roy Salvadori,9,37,,0,0,8,15,,0,12,0,2,0
Jack Brabham,10,35,,4,0,1,1,,0,15,0,10,4
Maurice Trintignant,11,30,,0,6,6,0,,0,10,2,4,2
Juan Manuel Fangio,12,29,25,,4,,,,,,,,
Wolfgang von Trips,13,26,,,0,10,0,,8,0,,,8
Olivier Gendebien,14,26,,8,,,,,10,,8,,
Dick Rathmann,15,25,,,,,,25,,,,,
Ed Elisian,16,18,,,,,,18,,,,,
Phil Hill,17,16,,,0,0,,,6,,10,,
Jimmy Reece,18,15,,,,,,15,,,,,
Bob Veith,19,12,,,,,,12,,,,,
Cliff Allison,20,10,,0,0,0,10,,0,0,0,0,0
Pat O'Connor,21,10,,,,,,10,,,,,
Carlos Menditéguy,22,8,8,,,,,,,,,,
Johnnie Parsons,23,8,,,,,,8,,,,,
Jo Bonnier,24,7,,0,0,2,0,,1,0,4,0,0
Jimmy Bryan,25,6,,,,,,6,,,,,
Johnny Boyd,26,4,,,,,,4,,,,,
Paco Godia,27,2,2,0,0,,,,,0,,,
Masten Gregory,28,2,,2,,,,,0,,0,0,
Tony Bettenhausen,29,2,,,,,,2,,,,,
Horace Gould,30,1,1,,,,,,,0,,,
Jack Turner,31,1,,,,,,1,,,,,
Carroll Shelby,32,1,,,0,,0,,0,,,,1
Giorgio Scarlatti,33,0,,,,,,,,0,,0,
Graham Hill,34,0,,0,0,0,0,,0,0,0,0,0
Ron Flockhart,35,0,,,,,,,,0,0,,
Luigi Taramazzo,36,0,,,,,,,,0,,,
Gerino Gerini,37,0,,,0,,0,,0,0,0,,
Bruce Kessler,38,0,,,,,,,,0,,,
Maria Teresa de Filippis,39,0,,0,,,,,0,0,,,0
Paul Emery,40,0,,,,,,,,0,,,
André Testut,41,0,,,,,,,,0,,,
Giulio Cabianca,42,0,,,,,,,0,0,,,
Luigi Piotti,43,0,,,,,,,,0,,,
Carel Godin de Beaufort,44,0,,,,0,,,,,,0,
Rodger Ward,45,0,,,,,,0,,,,,
Anthony Joseph Foyt,46,0,,,,,,0,,,,,
Don Freeland,47,0,,,,,,0,,,,,
Paul Russo,48,0,,,,,,0,,,,,
Billy Garrett,49,0,,,,,,0,,,,,
Paul Goldsmith,50,0,,,,,,0,,,,,
Bob Christie,51,0,,,,,,0,,,,,
Eddie Sachs,52,0,,,,,,0,,,,,
Jud Larson,53,0,,,,,,0,,,,,
Jim Rathmann,54,0,,,,,,0,,,,,
Al Keller,55,0,,,,,,0,,,,,
Johnny Thomson,56,0,,,,,,0,,,,,
Shorty Templeman,57,0,,,,,,0,,,,,
Jerry Unser Jr.,58,0,,,,,,0,,,,,
George Amick,59,0,,,,,,0,,,,,
Eddie Johnson,60,0,,,,,,0,,,,,
Len Sutton,61,0,,,,,,0,,,,,
Art Bisch,62,0,,,,,,0,,,,,
Chuck Weyant,63,0,,,,,,0,,,,,
Johnnie Tolan,64,0,,,,,,0,,,,,
Mike Magill,65,0,,,,,,0,,,,,
Dempsey Wilson,66,0,,,,,,0,,,,,
Bill Cheesbourg,67,0,,,,,,0,,,,,
Wolfgang Seidel,68,0,,0,,0,,,,,0,,
Ken Kavanagh,69,0,,0,,,,,,,,,
Troy Ruttman,70,0,,,0,0,,,,,,,
Ian Burgess,71,0,,,,0,0,,,,,,
Ivor Bueb,72,0,,,,0,0,,,,,,
Jack Fairman,73,0,,,,,0,,,,0,,
Alan Stacey,74,0,,,,,0,,,,,,
Bruce McLaren,75,0,,,,0,,,,,0,,
Edgar Barth,76,0,,,,0,,,,,,,
Tony Marsh,77,0,,,,0,,,,,,,
Hans Herrmann,78,0,,,,0,,,0,,0,,
Brian Naylor,79,0,,,,0,,,,,,,
Dick Gibson,80,0,,,,0,,,,,,,
Christian Goethals,81,0,,,,0,,,,,,,
Tom Bridger,82,0,,,,,,,,,0,,
Robert La Caze,83,0,,,,,,,,,0,,
François Picard,84,0,,,,,,,,,0,,
André Guelfi,85,0,,,,,,,,,0,,
