Équipe,Rang,Points,BAH,MAL,AUS,SAN,EUR,SPA,MON,GRE,CAN,UNI,FRA,GER,HUN,TUR,ITA,CHI,JAP,BRA
Renault,1,112,0,9,9,4,6,9,9,9,9,6,6,6,,6,0,9,9,6
Ferrari,2,107,4,6,,9,9,6,6,6,6,9,9,9,6,9,4,0,0,9
Honda,3,57,1,3,4,3,1,4,4,0,0,3,,0,9,4,9,6,2,4
McLaren,4,39,9,1,2,6,2,0,0,4,2,,4,1,2,0,0,0,3,3
BMW Sauber,5,36,0,0,6,1,4,2,2,3,0,,3,,1,2,6,2,4,0
Toyota,6,27,0,4,1,0,0,0,0,0,1,4,0,4,3,3,1,,6,
Red Bull,7,24,3,,0,,,1,0,2,4,2,2,3,0,1,3,3,0,0
Toro Rosso,8,17,2,0,0,0,0,0,3,0,3,1,1,2,0,0,2,1,0,2
Williams,9,15,6,,,2,0,3,,0,0,0,0,,,0,0,4,0,
Midland,10,12,0,2,0,0,3,0,1,1,0,,0,,4,,0,0,0,1
Super Aguri,11,4,0,0,3,,,0,0,0,0,,0,,0,,0,0,1,0
