Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Lewis Hamilton,3,Fernando Alonso,2
Ferrari,2,6,Felipe Massa,5,Kimi Räikkönen,1
BMW Sauber,3,4,Nick Heidfeld,6,Robert Kubica,4
Renault,4,3,Giancarlo Fisichella,8,Heikki Kovalainen,7
Honda,5,2,Jenson Button,10,Rubens Barrichello,9
Williams,6,1,Alexander Wurz,13,Nico Rosberg,12
Red Bull,7,0,,,David Coulthard,11
Super Aguri,8,0,,,Takuma Sato,14
Spyker,9,0,,,Christijan Albers,15
Toro Rosso,10,0,,,Vitantonio Liuzzi,16
