Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Lewis Hamilton,3,Fernando Alonso,2
Ferrari,2,6,Felipe Massa,6,Kimi Räikkönen,1
Toyota,3,4,Jarno Trulli,9,Ralf Schumacher,8
Renault,4,3,Heikki Kovalainen,10,Giancarlo Fisichella,5
Honda,5,2,Jenson Button,15,Rubens Barrichello,11
Super Aguri,6,1,Anthony Davidson,16,Takuma Sato,12
BMW Sauber,7,0,,,Nick Heidfeld,4
Williams,8,0,,,Nico Rosberg,7
Red Bull,9,0,,,Mark Webber,13
Toro Rosso,10,0,,,Vitantonio Liuzzi,14
Spyker,11,0,,,Adrian Sutil,17
