Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,Giancarlo Fisichella,5,Heikki Kovalainen,2
Ferrari,2,6,Felipe Massa,6,Kimi Räikkönen,3
Honda,3,4,Jenson Button,11,Rubens Barrichello,10
Spyker,4,3,Sakon Yamamoto,12,Adrian Sutil,8
BMW Sauber,5,2,Nick Heidfeld,14,Robert Kubica,7
McLaren,6,1,,,Lewis Hamilton,1
Red Bull,7,0,,,David Coulthard,4
Toro Rosso,8,0,,,Vitantonio Liuzzi,9
Toyota,9,0,,,Jarno Trulli,13
Super Aguri,10,0,,,Takuma Sato,15
