Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Fernando Alonso,2,Lewis Hamilton,1
Ferrari,2,6,Kimi Räikkönen,4,Felipe Massa,3
Renault,3,4,Giancarlo Fisichella,9,Heikki Kovalainen,5
Spyker,4,3,Christijan Albers,15,Adrian Sutil,14
Williams,5,2,Nico Rosberg,16,Alexander Wurz,10
Toro Rosso,6,1,Vitantonio Liuzzi,17,Scott Speed,13
Toyota,7,0,,,Jarno Trulli,6
Red Bull,8,0,,,Mark Webber,7
BMW Sauber,9,0,,,Sebastian Vettel,8
Super Aguri,10,0,,,Anthony Davidson,11
Honda,11,0,,,Jenson Button,12
