Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sergio Pérez,2,Max Verstappen,1
Aston Martin,2,6,Lance Stroll,10,Sebastian Vettel,8
AlphaTauri,3,4,Pierre Gasly,12,Yuki Tsunoda,7
Mercedes,4,3,Lewis Hamilton,13,George Russell,4
Alfa Romeo,5,2,Guanyu Zhou,15,Valtteri Bottas,5
Williams,6,1,Nicholas Latifi,16,Alexander Albon,11
Haas,7,0,Mick Schumacher,17,Kevin Magnussen,9
McLaren,8,0,Daniel Ricciardo,18,Lando Norris,3
Ferrari,9,0,,,Charles Leclerc,6
Alpine,10,0,,,Esteban Ocon,14
