Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,George Russell,3,Lewis Hamilton,2
Red Bull,2,6,Sergio Pérez,5,Max Verstappen,1
Ferrari,3,4,Charles Leclerc,6,Carlos Sainz Jr.,4
Alpine,4,3,Esteban Ocon,9,Fernando Alonso,8
Aston Martin,5,2,Lance Stroll,11,Sebastian Vettel,10
McLaren,6,1,Daniel Ricciardo,15,Lando Norris,7
Haas,7,0,Kevin Magnussen,16,Mick Schumacher,14
Williams,8,0,Nicholas Latifi,18,Alexander Albon,17
AlphaTauri,9,0,Yuki Tsunoda,19,Pierre Gasly,12
Alfa Romeo,10,0,Valtteri Bottas,20,Guanyu Zhou,13
