Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sergio Pérez,4,Max Verstappen,1
Mercedes,2,6,George Russell,5,Lewis Hamilton,2
Alpine,3,4,Esteban Ocon,11,Fernando Alonso,7
AlphaTauri,4,3,Pierre Gasly,14,Yuki Tsunoda,10
Haas,5,2,Mick Schumacher,15,Kevin Magnussen,9
McLaren,6,1,Daniel Ricciardo,16,Lando Norris,6
Williams,7,0,Nicholas Latifi,17,Alexander Albon,13
Ferrari,8,0,,,Charles Leclerc,3
Aston Martin,9,0,,,Sebastian Vettel,8
Alfa Romeo,10,0,,,Guanyu Zhou,12
