Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sergio Pérez,2,Max Verstappen,1
Mercedes,2,6,Lewis Hamilton,5,George Russell,3
Alpine,3,4,Fernando Alonso,9,Esteban Ocon,7
McLaren,4,3,Daniel Ricciardo,12,Lando Norris,8
AlphaTauri,5,2,Pierre Gasly,13,Yuki Tsunoda,10
Aston Martin,6,1,Lance Stroll,15,Sebastian Vettel,11
Haas,7,0,Kevin Magnussen,17,Mick Schumacher,14
Williams,8,0,Alexander Albon,18,Nicholas Latifi,16
Ferrari,9,0,,,Carlos Sainz Jr.,4
Alfa Romeo,10,0,,,Valtteri Bottas,6
