Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,4,George Russell,2
Red Bull,2,6,Sergio Pérez,5,Max Verstappen,1
Ferrari,3,4,Carlos Sainz Jr.,8,Charles Leclerc,3
Alpine,4,3,Esteban Ocon,9,Fernando Alonso,6
Aston Martin,5,2,Sebastian Vettel,14,Lance Stroll,10
Haas,6,1,Kevin Magnussen,15,Mick Schumacher,13
McLaren,7,0,Daniel Ricciardo,17,Lando Norris,7
Williams,8,0,Nicholas Latifi,18,Alexander Albon,12
AlphaTauri,9,0,,,Pierre Gasly,11
Alfa Romeo,10,0,,,Guanyu Zhou,16
