Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,George Russell,3,Lewis Hamilton,2
Red Bull,2,6,Sergio Pérez,4,Max Verstappen,1
Alpine,3,4,Esteban Ocon,8,Fernando Alonso,6
McLaren,4,3,Daniel Ricciardo,9,Lando Norris,7
Aston Martin,5,2,Sebastian Vettel,11,Lance Stroll,10
Alfa Romeo,6,1,Guanyu Zhou,16,Valtteri Bottas,14
Ferrari,7,0,,,Carlos Sainz Jr.,5
AlphaTauri,8,0,,,Pierre Gasly,12
Williams,9,0,,,Alexander Albon,13
Haas,10,0,,,Mick Schumacher,15
