Équipe,Rang,Points,AUS,BEL,BRA,CAN,FRA,GER,GRE,HUN,ITA,JAP,MEX,MON,POR,SAN,SOU,SPA
Williams,1,91,,9,9,,9,4,9,6,3,2,9,9,2,9,9,2
Benetton,2,66,9,6,4,0,3,9,6,3,9,0,2,6,6,0,2,1
McLaren,3,46,2,0,,1,,1,1,9,6,1,1,2,9,1,6,6
Footwork,4,38,0,0,3,0,1,0,3,1,1,3,0,4,4,6,3,9
Dallara,5,36,,0,1,9,4,3,2,,4,9,0,0,,4,,0
Lotus,6,27,3,3,0,,6,,0,4,,,6,,1,,4,
Ligier,7,27,1,,,6,2,6,4,,,,4,3,0,0,1,
Ferrari,8,22,4,,6,0,,0,0,2,,6,,,,,,4
Minardi,9,18,6,0,2,3,0,0,0,,,4,,0,3,,,0
March,10,14,0,4,,2,,2,,0,0,0,,,0,3,,3
Tyrrell,11,8,,0,,4,0,,0,0,2,0,0,,0,2,,
Venturi,12,5,,1,0,,,0,,,0,0,3,1,,,0,
Jordan,13,2,0,2,,,,0,,0,,0,,,0,0,0,
Brabham,14,0,,,,,,,0,0,,,,,,,0,
Fondmetal,15,0,,0,,,,,0,,,,,,,,,
