Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Riccardo Patrese,3,Nigel Mansell,2
Benetton,2,6,Martin Brundle,4,Michael Schumacher,1
March,3,4,Emanuele Naspetti,12,Karl Wendlinger,11
Lotus,4,3,Johnny Herbert,13,Mika Häkkinen,6
Jordan,5,2,Stefano Modena,15,Maurício Gugelmin,14
Venturi,6,1,Bertrand Gachot,18,Ukyo Katayama,17
McLaren,7,0,,,Ayrton Senna,5
Dallara,8,0,,,JJ Lehto,7
Tyrrell,9,0,,,Andrea de Cesaris,8
Footwork,10,0,,,Aguri Suzuki,9
Fondmetal,11,0,,,Eric van de Poele,10
Minardi,12,0,,,Gianni Morbidelli,16
