Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Benetton,1,9,Martin Brundle,4,Michael Schumacher,3
Ligier,2,6,Thierry Boutsen,7,Érik Comas,6
Williams,3,4,Riccardo Patrese,8,Nigel Mansell,1
Dallara,4,3,Pierluigi Martini,11,JJ Lehto,10
March,5,2,Karl Wendlinger,16,Paul Belmondo,13
McLaren,6,1,,,Ayrton Senna,2
Ferrari,7,0,,,Jean Alesi,5
Footwork,8,0,,,Michele Alboreto,9
Minardi,9,0,,,Gianni Morbidelli,12
Venturi,10,0,,,Bertrand Gachot,14
Jordan,11,0,,,Maurício Gugelmin,15
