Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Dallara,1,9,Pierluigi Martini,10,JJ Lehto,9
Ferrari,2,6,Nicola Larini,12,Jean Alesi,5
Minardi,3,4,Gianni Morbidelli,14,Christian Fittipaldi,6
Footwork,4,3,Michele Alboreto,15,Aguri Suzuki,8
Williams,5,2,,,Riccardo Patrese,1
McLaren,6,1,,,Gerhard Berger,2
Benetton,7,0,,,Martin Brundle,3
Tyrrell,8,0,,,Andrea de Cesaris,4
Jordan,9,0,,,Stefano Modena,7
Venturi,10,0,,,Ukyo Katayama,11
March,11,0,,,Emanuele Naspetti,13
