Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Tyrrell,1,9,Chris Amon,10,Jackie Stewart,5
Brabham,2,6,Wilson Fittipaldi,11,Carlos Reutemann,8
McLaren,3,4,Denny Hulme,13,Peter Revson,1
Iso-Marlboro,4,3,Tim Schenken,14,Howden Ganley,6
Shadow,5,2,Graham Hill,16,Jackie Oliver,3
Surtees,6,1,Carlos Pace,18,Mike Hailwood,9
Lotus,7,0,,,Emerson Fittipaldi,2
BRM,8,0,,,Jean-Pierre Beltoise,4
March,9,0,,,James Hunt,7
Ferrari,10,0,,,Arturo Merzario,15
