Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Tyrrell,1,9,Jackie Stewart,4,François Cevert,2
Ferrari,2,6,Arturo Merzario,7,Jacky Ickx,5
BRM,3,4,Jean-Pierre Beltoise,11,Niki Lauda,9
Brabham,4,3,Wilson Fittipaldi,16,Carlos Reutemann,3
Lotus,5,2,,,Ronnie Peterson,1
March,6,1,,,James Hunt,6
McLaren,7,0,,,Denny Hulme,8
Shadow,8,0,,,Graham Hill,10
Surtees,9,0,,,Carlos Pace,13
Iso-Marlboro,10,0,,,Howden Ganley,14
Ensign,11,0,,,Rikky von Opel,15
