Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Nigel Mansell,3,Nelson Piquet,1
Benetton,2,6,Teo Fabi,7,Thierry Boutsen,5
Ligier,3,4,René Arnoux,10,Piercarlo Ghinzani,8
Lotus,4,3,Satoru Nakajima,11,Ayrton Senna,2
Tyrrell,5,2,Jonathan Palmer,14,Philippe Streiff,12
McLaren,6,1,Alain Prost,15,Stefan Johansson,6
Ferrari,7,0,,,Gerhard Berger,4
Zakspeed,8,0,,,Christian Danner,9
March,9,0,,,Ivan Capelli,13
Minardi,10,0,,,Alessandro Nannini,16
