Pilote,Rang,Points,BELR,FRAR,GERR,GRER,ITAR,MEXR,MONR,NETR,SOUR,UNIR
Jim Clark,1,204,18,25,25,25,25,25,,18,25,18
Graham Hill,2,165,25,0,15,18,12,10,25,25,10,25
Jackie Stewart,3,113,15,18,18,12,15,4,15,8,0,8
John Surtees,4,100,8,12,12,10,18,,10,12,18,
Richie Ginther,5,78,12,6,,15,0,15,0,15,,15
Dan Gurney,6,72,10,10,10,6,2,18,,10,2,4
Lorenzo Bandini,7,69,0,15,6,2,10,6,12,0,8,10
Mike Spence,8,57,0,1,8,8,4,8,,4,12,12
Jack Brabham,9,56,1,,0,4,,12,18,,15,6
Bruce McLaren,10,19,2,2,1,0,0,0,6,2,4,2
Denny Hulme,11,19,,8,0,1,0,,4,6,,
Jo Bonnier,12,15,6,0,2,0,0,0,0,0,6,1
Jochen Rindt,13,11,0,0,4,0,6,0,0,0,1,0
Ronnie Bucknum,14,9,0,0,,,8,1,0,,,0
Richard Attwood,15,8,0,,0,0,0,0,8,0,,0
Jo Siffert,16,7,4,0,0,0,1,0,1,1,0,0
Chris Amon,17,4,,4,0,0,,,,,,
Bob Anderson,18,2,0,0,0,0,,,2,0,0,
Moisés Solana,19,2,,,,,,2,,,,0
Tony Maggs,20,0,,,,,,,,,0,
Frank Gardner,21,0,0,,0,0,0,,0,0,0,
Paul Hawkins,22,0,,,0,,,,0,,0,
Peter de Klerk,23,0,,,,,,,,,0,
John Love,24,0,,,,,,,,,0,
David Prophet,25,0,,,,,,,,,0,
Sam Tingle,26,0,,,,,,,,,0,
Trevor Blokdyk,27,0,,,,,,,,,0,
Neville Lederle,28,0,,,,,,,,,0,
Doug Serrurier,29,0,,,,,,,,,0,
Brausch Niemann,30,0,,,,,,,,,0,
Ernie Pieterse,31,0,,,,,,,,,0,
Mike Hailwood,32,0,,,,,,,0,,,
Innes Ireland,33,0,0,0,,0,0,0,,0,,0
Lucien Bianchi,34,0,0,,,,,,,,,
Masten Gregory,35,0,0,,0,0,0,,,,,
Willy Mairesse,36,0,0,,,,,,,,,
Ian Raby,37,0,,,0,0,,,,,,
Alan Rollinson,38,0,,,,0,,,,,,
John Rhodes,39,0,,,,0,,,,,,
Brian Gubby,40,0,,,,0,,,,,,
Gerhard Mitter,41,0,,,0,,,,,,,
Roberto Bussinello,42,0,,,0,,0,,,,,
Nino Vaccarella,43,0,,,,,0,,,,,
Giancarlo Baghetti,44,0,,,,,0,,,,,
Giacomo Russo,45,0,,,,,0,,,,,
Giorgio Bassi,46,0,,,,,0,,,,,
Bob Bondurant,47,0,,,,,,0,,,,0
Pedro Rodríguez,48,0,,,,,,0,,,,0
Ludovico Scarfiotti,49,0,,,,,,0,,,,
