Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Kimi Räikkönen,3,Sebastian Vettel,1
Mercedes,2,6,Lewis Hamilton,4,Valtteri Bottas,2
Red Bull,3,4,Daniel Ricciardo,6,Max Verstappen,5
Renault,4,3,Carlos Sainz Jr.,11,Nico Hülkenberg,10
Sauber,5,2,Pascal Wehrlein,14,Marcus Ericsson,13
Williams,6,1,Lance Stroll,16,Felipe Massa,7
McLaren,7,0,,,Fernando Alonso,8
Force India,8,0,,,Sergio Pérez,9
Toro Rosso,9,0,,,Pierre Gasly,12
Haas,10,0,,,Romain Grosjean,15
