Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,4,Valtteri Bottas,1
Ferrari,2,6,Kimi Räikkönen,5,Sebastian Vettel,2
Force India,3,4,Esteban Ocon,8,Sergio Pérez,7
Williams,4,3,Lance Stroll,10,Felipe Massa,9
Renault,5,2,Nico Hülkenberg,13,Jolyon Palmer,11
Sauber,6,1,Marcus Ericsson,15,Pascal Wehrlein,14
Red Bull,7,0,,,Daniel Ricciardo,3
Haas,8,0,,,Romain Grosjean,6
McLaren,9,0,,,Stoffel Vandoorne,12
Toro Rosso,10,0,,,Daniil Kvyat,16
