Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Kimi Räikkönen,3,Sebastian Vettel,2
Mercedes,2,6,Lewis Hamilton,4,Valtteri Bottas,1
Force India,3,4,Esteban Ocon,7,Sergio Pérez,6
Williams,4,3,Lance Stroll,11,Felipe Massa,9
Toro Rosso,5,2,Daniil Kvyat,12,Carlos Sainz Jr.,10
Sauber,6,1,Pascal Wehrlein,16,Marcus Ericsson,15
Red Bull,7,0,,,Max Verstappen,5
Renault,8,0,,,Nico Hülkenberg,8
Haas,9,0,,,Kevin Magnussen,13
McLaren,10,0,,,Stoffel Vandoorne,14
