Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Force India,1,9,Esteban Ocon,5,Sergio Pérez,4
Toro Rosso,2,6,Daniil Kvyat,9,Carlos Sainz Jr.,7
Sauber,3,4,Marcus Ericsson,11,Pascal Wehrlein,8
Haas,4,3,Kevin Magnussen,14,Romain Grosjean,10
Renault,5,2,Jolyon Palmer,15,Nico Hülkenberg,6
Williams,6,1,Lance Stroll,16,Felipe Massa,13
Mercedes,7,0,,,Lewis Hamilton,1
Ferrari,8,0,,,Sebastian Vettel,2
Red Bull,9,0,,,Daniel Ricciardo,3
McLaren,10,0,,,Fernando Alonso,12
