Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Kimi Räikkönen,2,Sebastian Vettel,1
Mercedes,2,6,Lewis Hamilton,4,Valtteri Bottas,3
Force India,3,4,Esteban Ocon,9,Sergio Pérez,8
McLaren,4,3,Stoffel Vandoorne,10,Fernando Alonso,6
Toro Rosso,5,2,Daniil Kvyat,11,Carlos Sainz Jr.,7
Sauber,6,1,Marcus Ericsson,16,Pascal Wehrlein,15
Renault,7,0,Nico Hülkenberg,17,Jolyon Palmer,12
Red Bull,8,0,,,Max Verstappen,5
Haas,9,0,,,Kevin Magnussen,13
Williams,10,0,,,Lance Stroll,14
