Pilote,Rang,Points,ABUR,AUSR,AUSS,AZER,AZES,BAHR,BELR,BELS,CANR,GRER,HUNR,ITAR,JAPR,LASR,MEXR,MIAR,MONR,NETR,QATR,QATS,SAOR,SAOS,SAUR,SINR,SPAR,UNIR,UNIS
Max Verstappen,1,540,25,25,25,18,15,25,25,25,25,25,18,18,25,15,15,,25,25,25,15,25,18,,,25,8,25
Charles Leclerc,2,383,18,18,8,25,25,15,18,12,,12,8,15,12,25,25,6,15,2,10,8,18,6,18,15,,25,18
Carlos Sainz Jr.,3,299,,15,10,12,10,12,10,15,4,10,,25,8,18,18,15,10,8,,10,4,2,10,25,18,12,8
Lando Norris,4,240,10,12,15,6,,,6,10,6,18,15,2,15,,,,1,18,,18,6,25,,12,15,18,12
George Russell,5,226,12,18,,,12,8,4,1,10,8,,12,4,12,4,8,4,15,18,12,8,12,12,18,,10,4
Lewis Hamilton,6,225,,10,,10,8,6,12,6,12,6,25,4,6,,8,,8,,15,,10,10,4,10,10,15,15
Sergio Pérez,7,207,2,,18,15,18,18,15,4,,,2,10,10,,10,25,,6,,4,2,15,25,,,2,6
Fernando Alonso,8,171,6,6,6,8,4,10,2,,15,2,4,1,1,1,,18,18,10,12,,12,,15,6,2,,
Oscar Piastri,9,153,15,,,1,,,8,18,2,15,12,6,18,,6,,,4,8,25,,1,2,,1,1,10
Pierre Gasly,10,66,1,2,,,,,,8,,1,,,,10,,10,6,,6,,,,1,,12,6,1
Lance Stroll,11,60,,8,4,2,2,4,1,,,,,,,,,,,,,,15,,8,,8,,
Esteban Ocon,12,54,,,2,,,2,,2,8,,,,,,,4,12,,4,,,,6,4,6,4,
Nico Hülkenberg,13,52,4,4,12,,,,,,18,,1,,,,,,,,,6,,,,2,4,,
Alexander Albon,14,45,,1,,,6,,,,,4,,8,,8,,,,12,,,,,,,,,2
Yuki Tsunoda,15,24,8,,,4,,,,,,,,,2,,,,2,,,,,8,,,,,
Kevin Magnussen,16,23,,,1,,,,,,,,,,,2,,12,,,,,,,,8,,,
Daniel Ricciardo,17,16,,,,,,,,,,,,,,,12,,,,,,,4,,,,,
Valtteri Bottas,18,14,,,,,,,,,,,6,,,4,2,,,,2,,,,,,,,
Guanyu Zhou,19,11,,,,,,,,,,,10,,,,1,,,,,,,,,,,,
Logan Sargeant,20,7,,,,,,,,,,,,,,6,,,,1,,,,,,,,,
Liam Lawson,21,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
