Équipe,Rang,Points,BAH,SAU,AUS,AZE,MIA,MON,SPA,CAN,GRE,HUN,BEL,NET,ITA,SIN,JAP,QAT,UNI,MEX,SAO,LAS,ABU
Red Bull,1,147,9,9,9,9,9,0,6,6,4,9,9,9,9,4,0,4,9,0,9,9,9
Mercedes,2,80,4,6,4,3,6,9,9,0,6,4,6,0,4,1,4,0,0,6,0,4,4
Ferrari,3,78,0,4,6,6,4,4,2,9,3,3,0,0,6,9,6,0,0,9,1,6,0
McLaren,4,72,0,0,0,2,0,3,0,2,9,6,0,6,3,6,9,9,1,4,2,0,6
Aston Martin,5,57,6,0,3,4,2,0,4,4,1,2,4,3,0,0,0,3,0,0,6,3,3
Alpine,6,44,0,3,1,1,3,6,3,3,0,,3,4,0,0,3,2,0,3,4,2,1
AlphaTauri,7,21,2,1,0,0,0,1,1,0,0,1,1,2,0,0,2,0,2,2,3,0,2
Alfa Romeo,8,20,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,6,4,1,,0,0
Williams,9,18,3,0,2,0,0,0,0,0,2,0,0,0,2,2,,0,6,0,0,1,0
Haas,10,13,1,2,0,0,1,0,0,0,0,0,0,1,0,3,1,1,3,0,0,0,0
